Quarter,gdp,adjusted_gdp
01/01/1998,0.6,67.3
01/04/1998,0.5,67.7
01/07/1998,0.3,67.9
01/10/1998,0.6,68.3
01/01/1999,0.7,68.8
01/04/1999,0.4,69.1
01/07/1999,1.7,70.2
01/10/1999,1.4,71.3
01/01/2000,1.2,72.1
01/04/2000,0.7,72.6
01/07/2000,0.5,72.9
01/10/2000,0.4,73.2
01/01/2001,0.9,73.9
01/04/2001,0.4,74.1
01/07/2001,0.5,74.5
01/10/2001,0.2,74.6
01/01/2002,0.3,74.9
01/04/2002,0.5,75.3
01/07/2002,0.7,75.8
01/10/2002,0.8,76.4
01/01/2003,0.6,76.9
01/04/2003,0.9,77.6
01/07/2003,1,78.3
01/10/2003,0.8,79
01/01/2004,0.4,79.3
01/04/2004,0.5,79.7
01/07/2004,0.2,79.9
01/10/2004,0.3,80.2
01/01/2005,0.8,80.8
01/04/2005,0.9,81.5
01/07/2005,0.9,82.2
01/10/2005,1,83.1
01/01/2006,0.3,83.4
01/04/2006,0.2,83.6
01/07/2006,0.1,83.7
01/10/2006,0.4,84.1
01/01/2007,1,84.9
01/04/2007,0.7,85.5
01/07/2007,0.8,86.1
01/10/2007,0.7,86.7
01/01/2008,0.5,87.1
01/04/2008,-0.5,86.7
01/07/2008,-1.5,85.4
01/10/2008,-2.2,83.5
01/01/2009,-1.9,81.9
01/04/2009,-0.3,81.6
01/07/2009,0.1,81.8
01/10/2009,0.3,82
01/01/2010,0.9,82.8
01/04/2010,1.1,83.8
01/07/2010,0.6,84.3
01/10/2010,0.1,84.4
01/01/2011,0.3,84.6
01/04/2011,0.1,84.7
01/07/2011,0.2,84.8
01/10/2011,0,84.8
01/01/2012,0.8,85.5
01/04/2012,-0.1,85.4
01/07/2012,1.2,86.5
01/10/2012,-0.1,86.4
01/01/2013,0.2,86.6
01/04/2013,0.7,87.2
01/07/2013,0.7,87.8
01/10/2013,0.6,88.4
01/01/2014,0.9,89.2
01/04/2014,0.9,90
01/07/2014,0.8,90.7
01/10/2014,0.7,91.3
01/01/2015,0.4,91.7
01/04/2015,0.6,92.2
01/07/2015,0.4,92.6
01/10/2015,0.7,93.3
01/01/2016,0.4,93.7
01/04/2016,0.6,94.2
01/07/2016,0.4,94.7
01/10/2016,0.6,95.3
01/01/2017,0.7,96
01/04/2017,0.5,96.5
01/07/2017,0.5,97
01/10/2017,0.6,97.6
01/01/2018,0.1,97.8
01/04/2018,0.5,98.2
01/07/2018,0.6,98.7
01/10/2018,0.3,99
01/01/2019,0.6,99.6
01/04/2019,0.1,99.7
01/07/2019,0.6,100.3
01/10/2019,0,100.3
01/01/2020,-2.6,97.7
01/04/2020,-21,77.2
01/07/2020,16.6,90
01/10/2020,1.2,91.1
01/01/2021,-1.1,90.1
01/04/2021,6.5,96
01/07/2021,1.7,97.7
01/10/2021,1.5,99.1
01/01/2022,0.5,99.6
01/04/2022,0.1,99.7
01/07/2022,-0.1,99.6
01/10/2022,0.1,99.7
01/01/2023,0.1,99.9
